Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
protein complex disassembly (GO:0043241)	19/132	3.29874768447835e-17	1.55700890707378e-14	0	0	14.9159993719579	566.068197366974	RPL5;SMARCC1;RPL32;RPL21;RPS8;RPS6;RPL11;RPL35A;RPSA;RPS14;RPS19;RPL18A;RPL27A;RPL35;RPL13;RPL39;RPS24;RPS23;RPL19
cellular protein complex disassembly (GO:0043624)	18/113	3.57515506612155e-17	1.54685042527526e-14	0	0	16.5069466733917	625.117047595013	RPL5;RPL32;RPL21;RPS8;RPS6;RPL11;RPL35A;RPSA;RPS14;RPS19;RPL18A;RPL27A;RPL35;RPL13;RPL39;RPS24;RPS23;RPL19
establishment of protein localization to endoplasmic reticulum (GO:0072599)	18/115	4.95001802033652e-17	1.97696104319902e-14	0	0	16.2198693399414	608.967782427889	RPL5;RPL32;RPL21;RPS8;RPS6;RPL11;RPL35A;RPSA;RPS14;RPS19;RPL18A;RPL27A;RPL35;RPL13;RPL39;RPS24;RPS23;RPL19
protein localization to endoplasmic reticulum (GO:0070972)	18/118	7.96890693286506e-17	2.95532605681682e-14	0	0	15.8074997804514	585.958712930152	RPL5;RPL32;RPL21;RPS8;RPS6;RPL11;RPL35A;RPSA;RPS14;RPS19;RPL18A;RPL27A;RPL35;RPL13;RPL39;RPS24;RPS23;RPL19
translation (GO:0006412)	24/264	9.78553112288477e-17	3.38709850600118e-14	0	0	9.42063118228921	347.273120134061	RPL5;RPL32;RPL21;RPS8;RPL11;RPS6;RPL35A;RPSA;RBM3;RPS14;MRPL3;RPL18A;RPS19;RPL27A;RPL35;RPL13;RPL39;RPS24;EIF4B;EIF3A;RPS23;RPL19;EIF4G1;EIF3B
macromolecular complex disassembly (GO:0032984)	19/142	1.34386323619493e-16	4.36083620145253e-14	0	0	13.865576880975	506.728779964633	RPL5;SMARCC1;RPL32;RPL21;RPS8;RPS6;RPL11;RPL35A;RPSA;RPS14;RPS19;RPL18A;RPL27A;RPL35;RPL13;RPL39;RPS24;RPS23;RPL19
nuclear-transcribed mRNA catabolic process (GO:0000956)	20/183	1.14617938997226e-15	3.50056670160938e-13	0	0	11.3253489623149	389.618531137531	RPL5;RPL32;RPL21;RPS8;RPS6;RPL11;RPL35A;RPSA;RPS14;RPS19;RPL18A;RPL27A;RPL35;RPL13;RPL39;RPS24;EIF4B;EIF4G1;RPS23;RPL19
mRNA catabolic process (GO:0006402)	20/193	3.23876494058639e-15	9.34203753973584e-13	0	0	10.7385433165991	358.276295513494	RPL5;RPL32;RPL21;RPS8;RPL11;RPS6;RPL35A;RPSA;RPS14;RPS19;RPL18A;RPL27A;RPL35;RPL13;RPL39;RPS24;EIF4B;RPS23;RPL19;EIF4G1
establishment of protein localization to organelle (GO:0072594)	23/292	1.00154477716199e-14	2.73685288580265e-12	0	0	8.1623961956136	263.1119658897	RPL5;NOP58;RPL32;RPL21;RPS8;TIMM9;RPL11;RPS6;RPL35A;RPSA;TRNT1;RPS14;RPL18A;RPS19;RPL27A;RPL35;RPL13;PHIP;RPL39;RPS24;RAN;RPS23;RPL19
protein targeting to membrane (GO:0006612)	18/156	1.24838708651277e-14	3.24081287658716e-12	0	0	11.9569549621363	382.79400854427	RPL5;RPL32;RPL21;RPS8;RPS6;RPL11;RPL35A;RPSA;RPS14;RPS19;RPL18A;RPL27A;RPL35;RPL13;RPL39;RPS24;RPS23;RPL19
RNA catabolic process (GO:0006401)	20/220	4.03802688535814e-14	9.98354075656164e-12	0	0	9.42063118228921	290.536364804149	RPL5;RPL32;RPL21;RPS8;RPL11;RPS6;RPL35A;RPSA;RPS14;RPL18A;RPS19;RPL27A;RPL35;RPL13;RPL39;RPS24;EIF4B;RPS23;RPL19;EIF4G1
protein targeting (GO:0006605)	21/273	2.46081893396044e-13	5.80753268414665e-11	0	0	7.97130330809087	231.431741844506	RPL5;RPL32;RPL21;RPS8;TIMM9;RPL11;RPS6;RPL35A;RPSA;TRNT1;RPS14;RPL18A;RPS19;RPL27A;RPL35;RPL13;RPL39;RPS24;YWHAG;RPS23;RPL19
establishment of protein localization to membrane (GO:0090150)	19/229	9.34482566265665e-13	2.10949281915275e-10	0	0	8.59786863361767	238.150501189466	RPL5;RPL32;RPL21;RPS8;TIMM9;RPL11;RPS6;RPL35A;RPSA;RPS14;RPL18A;RPS19;RPL27A;RPL35;RPL13;RPL39;RPS24;RPS23;RPL19
mRNA splicing, via spliceosome (GO:0000398)	17/177	1.45599612822317e-12	3.14980495738946e-10	0	0	9.95287023213606	271.268770838596	SF3B3;FUS;HNRNPU;HNRNPR;YBX1;SYNCRIP;HNRNPK;SNRPD1;U2AF2;PCBP1;TRA2B;HNRNPA2B1;SRSF6;HNRNPA1;SRSF7;SRSF10;RBMX
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	17/177	1.45599612822317e-12	3.02381275909388e-10	0	0	9.95287023213606	271.268770838596	SF3B3;FUS;HNRNPU;HNRNPR;YBX1;SYNCRIP;HNRNPK;SNRPD1;U2AF2;PCBP1;TRA2B;HNRNPA2B1;SRSF6;HNRNPA1;SRSF7;SRSF10;RBMX
RNA splicing, via transesterification reactions (GO:0000375)	17/184	2.73890284391664e-12	5.46937829446739e-10	0	0	9.57422842982654	254.899123034467	SF3B3;FUS;HNRNPU;HNRNPR;YBX1;SYNCRIP;HNRNPK;SNRPD1;U2AF2;PCBP1;TRA2B;HNRNPA2B1;SRSF6;HNRNPA1;SRSF7;SRSF10;RBMX
protein localization to organelle (GO:0033365)	23/396	5.93898336906965e-12	1.14204450563739e-09	0	0	6.01873658868477	155.581230016584	RPL5;NOP58;RPL32;RPL21;RPS8;TIMM9;RPL11;RPS6;RPL35A;RPSA;TRNT1;RPS14;RPL18A;RPS19;RPL27A;RPL35;RPL13;PHIP;RPL39;RPS24;RAN;RPS23;RPL19
mRNA processing (GO:0006397)	23/397	6.25219831132864e-12	1.1593362011578e-09	0	0	6.00357604312134	154.88078298034	SF3B3;WTAP;FUS;HNRNPU;CSTF2T;HNRNPR;YBX1;TSEN2;SYNCRIP;HNRNPK;SNRPD1;U2AF2;PCBP1;TRA2B;HNRNPA2B1;DHX15;SRSF6;HNRNPA1;SRSF10;SRSF7;RBMX;EIF4B;EIF4G1
protein localization to membrane (GO:0072657)	19/276	2.50361647417179e-11	4.48233680479308e-09	0	0	7.13373883006683	174.139556652097	RPL5;RPL32;RPL21;RPS8;TIMM9;RPL11;RPS6;RPL35A;RPSA;RPS14;RPL18A;RPS19;RPL27A;RPL35;RPL13;RPL39;RPS24;RPS23;RPL19
RNA splicing (GO:0008380)	20/313	2.81446816979672e-11	4.87090624586153e-09	0	0	6.62152990448443	160.86121410015	SF3B3;WTAP;FUS;HNRNPU;HNRNPR;YBX1;TSEN2;SYNCRIP;HNRNPK;SNRPD1;U2AF2;PCBP1;TRA2B;HNRNPA2B1;DHX15;SRSF6;HNRNPA1;SRSF10;SRSF7;RBMX
rRNA processing (GO:0006364)	13/120	1.48995030678484e-10	2.495426449299e-08	0	0	11.2262521588946	254.017621849719	RPL5;NOP58;RPS8;RPS6;RPL11;NOLC1;NOL8;RPL35A;RPSA;RPS14;RPS19;DKC1;RPS24
cellular component disassembly (GO:0022411)	20/350	2.06419379281551e-10	3.34915442884316e-08	0	0	5.92153960029608	132.056913070974	RPL5;SMARCC1;RPL32;RPL21;RPS8;RPL11;RPS6;RPL35A;RPSA;RPS14;RPL18A;RPS19;RPL27A;RPL35;RPL13;NUP35;RPL39;RPS24;RPS23;RPL19
rRNA metabolic process (GO:0016072)	13/126	2.76174518888521e-10	4.34514576384606e-08	0	0	10.6916687227568	235.32350173363	RPL5;NOP58;RPS8;RPS6;RPL11;NOLC1;NOL8;RPL35A;RPSA;RPS14;RPS19;DKC1;RPS24
single-organism cellular localization (GO:1902580)	23/496	5.25252766149236e-10	8.02091871131422e-08	0	0	4.80528163128865	102.675132610521	RPL5;NOP58;RPL32;RPL21;RPS8;TIMM9;RPL11;RPS6;RPL35A;RPSA;TRNT1;RPS14;RPL18A;RPS19;RPL27A;RPL35;RPL13;PHIP;RPL39;RPS24;RAN;RPS23;RPL19
negative regulation of mRNA splicing, via spliceosome (GO:0048025)	6/15	3.47769103347657e-09	5.1589062416601e-07	0	0	41.4507772020725	807.332528891126	U2AF2;HNRNPA2B1;SRSF6;RBMX;SRSF7;SRSF10
negative regulation of mRNA processing (GO:0050686)	6/17	8.46235569099868e-09	1.2204597429907e-06	0	0	36.5742151782993	679.828281070982	U2AF2;HNRNPA2B1;SRSF6;RBMX;SRSF7;SRSF10
regulation of mRNA splicing, via spliceosome (GO:0048024)	8/44	8.55975966897982e-09	1.2011424919282e-06	0	0	18.8412623645784	349.998939674812	WTAP;U2AF2;TRA2B;HNRNPA2B1;SRSF6;SRSF10;RBMX;SRSF7
ncRNA processing (GO:0034470)	15/241	1.3312761216225e-08	1.81894358512212e-06	0	0	6.44980973061295	116.964350429729	RPL5;NOP58;RPS8;RPL11;RPS6;NOLC1;NOL8;RPL35A;RPSA;TRNT1;TSEN2;RPS14;RPS19;DKC1;RPS24
negative regulation of RNA splicing (GO:0033119)	6/19	1.82564961811362e-08	2.43045456852459e-06	0	0	32.7242977911099	583.105913230133	U2AF2;HNRNPA2B1;SRSF6;RBMX;SRSF7;SRSF10
ncRNA metabolic process (GO:0034660)	17/332	2.54669557521842e-08	3.30561085663351e-06	0	0	5.30619888881953	92.7835786646094	RPL5;NOP58;RPS8;RPL11;RPS6;NOLC1;NOL8;RPL35A;RPSA;TRNT1;TSEN2;RPS14;RPS19;SNRPD1;DKC1;EEF1E1;RPS24
negative regulation of mRNA metabolic process (GO:1903312)	6/21	3.59313044460003e-08	4.55013006545448e-06	0	0	29.6076980014804	507.525001666186	U2AF2;HNRNPA2B1;SRSF6;RBMX;SRSF7;SRSF10
regulation of mRNA processing (GO:0050684)	8/69	3.28714296732851e-07	4.06353483008801e-05	0	0	12.0147180295862	179.356634226281	WTAP;U2AF2;TRA2B;HNRNPA2B1;SRSF6;SRSF7;SRSF10;RBMX
regulation of RNA splicing (GO:0043484)	8/73	5.11347979165626e-07	6.17422955308821e-05	0	0	11.3563773156363	164.510929112487	WTAP;U2AF2;TRA2B;HNRNPA2B1;SRSF6;SRSF7;SRSF10;RBMX
maturation of SSU-rRNA (GO:0030490)	4/8	5.70861339111103e-07	6.73616380151102e-05	0	0	51.8134715025907	744.876657796118	RPS14;RPS19;RPS8;RPS24
ribosomal small subunit assembly (GO:0000028)	4/8	5.70861339111103e-07	6.58647127258855e-05	0	0	51.8134715025907	744.876657796118	RPS14;RPS19;RPS6;RPSA
RNA export from nucleus (GO:0006405)	8/76	6.9981261450322e-07	7.89875455326243e-05	0	0	10.9080992637033	154.59452665728	EIF5A;XPOT;U2AF2;RPSA;SRSF6;HNRNPA1;SRSF7;SRSF10
regulation of mRNA metabolic process (GO:1903311)	8/76	6.9981261450322e-07	7.73069594574621e-05	0	0	10.9080992637033	154.59452665728	WTAP;U2AF2;TRA2B;HNRNPA2B1;SRSF6;SRSF7;SRSF10;RBMX
nucleocytoplasmic transport (GO:0006913)	12/204	7.19053843391433e-07	7.77776573935067e-05	0	0	6.09570252971655	86.2257213991594	EIF5A;NPM1;NOP58;XPOT;U2AF2;RPSA;PHIP;SRSF6;HNRNPA1;SRSF10;SRSF7;RAN
nuclear transport (GO:0051169)	12/209	9.29516151170201e-07	9.84907725892997e-05	0	0	5.94987232565635	82.6354066216773	EIF5A;NPM1;NOP58;XPOT;U2AF2;RPSA;PHIP;SRSF6;HNRNPA1;SRSF10;SRSF7;RAN
ribonucleoprotein complex assembly (GO:0022618)	10/138	9.40924359534947e-07	9.77055854941089e-05	0	0	7.5091987684914	104.200668946894	RPS14;NPM1;RPS19;SNRPD1;RPS6;RPSA;SRSF6;SRSF10;EIF3A;EIF3B
nuclear export (GO:0051168)	9/110	1.20785145343177e-06	0.00012296401463172	0	0	8.47856806406029	115.534627334185	EIF5A;XPOT;U2AF2;RPSA;SRSF6;HNRNPA1;SRSF7;SRSF10;RAN
ribonucleoprotein complex subunit organization (GO:0071826)	10/145	1.48013730586856e-06	0.000147786017155184	0	0	7.14668572449526	95.9326474915562	RPS14;NPM1;RPS19;SNRPD1;RPS6;RPSA;SRSF6;SRSF10;EIF3A;EIF3B
ribonucleoprotein complex biogenesis (GO:0022613)	7/61	1.96264050246629e-06	0.000192264707335943	0	0	11.8916164104306	156.270344982034	RPL5;RPS19;RPS6;MRTO4;RPL11;RPL35A;RPS24
establishment of RNA localization (GO:0051236)	10/153	2.40985641162656e-06	0.000231703231280835	0	0	6.77300281079617	87.6151809575307	EIF5A;XPOT;U2AF2;HNRNPA2B1;NUP35;RPSA;SRSF6;HNRNPA1;SRSF7;SRSF10
RNA transport (GO:0050658)	10/153	2.40985641162656e-06	0.000227490445257547	0	0	6.77300281079617	87.6151809575307	EIF5A;XPOT;U2AF2;HNRNPA2B1;NUP35;RPSA;SRSF6;HNRNPA1;SRSF7;SRSF10
nucleic acid transport (GO:0050657)	10/153	2.40985641162656e-06	0.000223428115877948	0	0	6.77300281079617	87.6151809575307	EIF5A;XPOT;U2AF2;HNRNPA2B1;NUP35;RPSA;SRSF6;HNRNPA1;SRSF7;SRSF10
nucleobase-containing compound transport (GO:0015931)	10/180	1.02384376598627e-05	0.000932595935614163	0	0	5.75705238917674	66.1448562019129	EIF5A;XPOT;U2AF2;HNRNPA2B1;NUP35;RPSA;SRSF6;HNRNPA1;SRSF7;SRSF10
nucleobase-containing small molecule interconversion (GO:0015949)	4/18	2.31359407467936e-05	0.00207106559236814	0	0	23.028209556707	245.805947566466	DTYMK;NME2;CTPS1;NME1
cellular component biogenesis (GO:0044085)	7/89	2.46926330743064e-05	0.00217295171053897	0	0	8.15043371950864	86.4679970942882	RPL5;RPS19;RPS6;MRTO4;RPL11;RPL35A;RPS24
pyrimidine nucleoside triphosphate biosynthetic process (GO:0009148)	4/22	5.36605872602904e-05	0.00464342948425713	0	0	18.8412623645784	185.26296314515	DTYMK;NME2;CTPS1;NME1
RNA 3'-end processing (GO:0031123)	7/101	5.59259250548553e-05	0.00476012135876735	0	0	7.18206535679475	70.3230673248299	U2AF2;RPSA;TRNT1;SRSF6;SRSF7;EIF4B;EIF4G1
pyrimidine nucleoside triphosphate metabolic process (GO:0009147)	4/26	0.000106407417629265	0.00891076310211526	0	0	15.9426066161817	145.846716124765	DTYMK;NME2;CTPS1;NME1
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	4/28	0.000143550569657747	0.0118303898041749	0	0	14.8038490007402	130.996642236083	WTAP;TRA2B;SRSF6;RBMX
positive regulation of RNA splicing (GO:0033120)	3/12	0.000182545176539817	0.0148089774467927	0	0	25.9067357512953	223.018468209623	U2AF2;TRA2B;RBMX
ribosomal large subunit biogenesis (GO:0042273)	3/13	0.000235624850748359	0.0188209880782381	0	0	23.9139099242726	199.759337581289	RPL5;RPL11;RPL35A
ribosomal small subunit biogenesis (GO:0042274)	3/13	0.000235624850748359	0.0185358215922042	0	0	23.9139099242726	199.759337581289	RPS19;RPS6;RPS24
pyrimidine nucleotide biosynthetic process (GO:0006221)	4/33	0.000276285890085222	0.0214100946466041	0	0	12.5608415763856	102.924470337076	DTYMK;NME2;CTPS1;NME1
mRNA transport (GO:0051028)	7/134	0.000326845492409244	0.0249556146557176	0	0	5.41334776892738	43.4476536950398	EIF5A;U2AF2;NUP35;SRSF6;HNRNPA1;SRSF7;SRSF10
DNA replication (GO:0006260)	8/186	0.000459919728199581	0.0346072931711916	0	0	4.45707281742715	34.2501914875377	ING5;MGME1;DKC1;POLD2;POLE3;MCM3;NOL8;PPIA
mRNA export from nucleus (GO:0006406)	5/69	0.000541445783708995	0.0401598072716729	0	0	7.5091987684914	56.4786935417652	EIF5A;U2AF2;SRSF6;SRSF7;SRSF10
nitrogen compound transport (GO:0071705)	13/464	0.000595724713602764	0.0435634184933176	0	0	2.9033410755762	21.5594324052853	EIF5A;SLC38A1;RPSA;SLC7A1;XPOT;U2AF2;HNRNPA2B1;NUP35;SRSF6;SLC25A12;HNRNPA1;SRSF10;SRSF7
cellular response to insulin stimulus (GO:0032869)	8/195	0.000628219962325161	0.0453016395054477	0	0	4.25136176431513	31.3436755970462	SMARCC1;PPAT;RPS6;PHIP;PTPN11;YWHAG;EIF4B;EIF4G1
pyrimidine-containing compound biosynthetic process (GO:0072528)	4/41	0.000643844022046859	0.0457923035954423	0	0	10.1099456590421	74.2884272764929	DTYMK;NME2;CTPS1;NME1
CTP metabolic process (GO:0046036)	3/18	0.000648786581953152	0.045520269371632	0	0	17.2711571675302	126.777318423262	NME2;CTPS1;NME1
CTP biosynthetic process (GO:0006241)	3/18	0.000648786581953152	0.0449133324466769	0	0	17.2711571675302	126.777318423262	NME2;CTPS1;NME1
response to insulin (GO:0032868)	9/246	0.000664479799110044	0.0453944620655177	0	0	3.79122962214078	27.7385545826176	SMARCC1;PPAT;RPS6;PHIP;PTPN11;OGT;YWHAG;EIF4B;EIF4G1
pyrimidine ribonucleoside triphosphate biosynthetic process (GO:0009209)	3/19	0.000764981352045121	0.0515815997378996	0	0	16.3621488955549	117.409202631794	NME2;CTPS1;NME1
pyrimidine ribonucleoside triphosphate metabolic process (GO:0009208)	3/20	0.00089361132320191	0.0594824357700554	0	0	15.5440414507772	109.122895940612	NME2;CTPS1;NME1
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	6/116	0.00092061316161103	0.0605040953808161	0	0	5.36001429337145	37.4690224937022	HSP90AB1;ANAPC7;KEAP1;COMMD1;RAD23B;ANAPC10
pyrimidine nucleotide metabolic process (GO:0006220)	4/47	0.00108407125515832	0.070356224459775	0	0	8.81931429831331	60.2097377981184	DTYMK;NME2;CTPS1;NME1
regulation of translation (GO:0006417)	9/264	0.00109346854477648	0.070089983759006	0	0	3.53273669335845	24.0876135794784	RBM3;EIF5A;RPS14;SYNCRIP;NPM1;EIF4B;EIF3A;EIF4G1;EIF3B
posttranscriptional regulation of gene expression (GO:0010608)	12/438	0.00116725905254605	0.0739074268392573	0	0	2.83909432890908	19.1726793063974	RBM3;EIF5A;RPS14;SYNCRIP;NPM1;SERBP1;HNRNPU;YBX1;EIF4B;EIF3A;EIF4G1;EIF3B
regulation of mRNA stability (GO:0043488)	4/48	0.00117379220432841	0.073425652106905	0	0	8.63557858376511	58.2687009607851	SYNCRIP;SERBP1;HNRNPU;YBX1
mRNA 3'-end processing (GO:0031124)	5/85	0.00139591326132957	0.0862807339621802	0	0	6.09570252971655	40.074406646086	U2AF2;SRSF6;SRSF7;EIF4B;EIF4G1
regulation of RNA stability (GO:0043487)	4/51	0.0014740075926765	0.0900358520138401	0	0	8.1276033729554	52.9901073588029	SYNCRIP;SERBP1;HNRNPU;YBX1
pyrimidine ribonucleoside biosynthetic process (GO:0046132)	3/26	0.00195320001591463	0.117918773053823	0	0	11.9569549621363	74.5909073451031	NME2;CTPS1;NME1
regulation of proteasomal protein catabolic process (GO:0061136)	6/135	0.00200536646762989	0.119676582757867	0	0	4.60564191134139	28.6099180566609	HSP90AB1;ANAPC7;KEAP1;COMMD1;RAD23B;ANAPC10
cellular response to interleukin-4 (GO:0071353)	3/27	0.00218185425388891	0.128729400979446	0	0	11.5141047783535	70.5536003285759	HSP90AB1;FASN;KEAP1
pyrimidine ribonucleotide biosynthetic process (GO:0009220)	3/27	0.00218185425388891	0.127283003215632	0	0	11.5141047783535	70.5536003285759	NME2;CTPS1;NME1
osteoblast differentiation (GO:0001649)	5/98	0.00261375001272858	0.150784334067631	0	0	5.28708892883578	31.4421555585893	SYNCRIP;FASN;HNRNPU;DDX21;RBMX
pyrimidine ribonucleotide metabolic process (GO:0009218)	3/29	0.0026873587189159	0.153327104050674	0	0	10.7200285867429	63.4539552254697	NME2;CTPS1;NME1
mRNA stabilization (GO:0048255)	3/30	0.00296492612746139	0.167324961454125	0	0	10.3626943005181	60.3202400175715	SYNCRIP;HNRNPU;YBX1
RNA stabilization (GO:0043489)	3/30	0.00296492612746139	0.16552576832021	0	0	10.3626943005181	60.3202400175715	SYNCRIP;HNRNPU;YBX1
insulin receptor signaling pathway (GO:0008286)	6/148	0.00317370554653904	0.175296587208837	0	0	4.20109228399384	24.1682765648283	SMARCC1;RPS6;PHIP;PTPN11;EIF4B;EIF4G1
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	6/148	0.00317370554653904	0.17345135997506	0	0	4.20109228399384	24.1682765648283	HSP90AB1;ANAPC7;KEAP1;COMMD1;RAD23B;ANAPC10
mitotic cell cycle checkpoint (GO:0007093)	5/103	0.00324180620165821	0.175327685406348	0	0	5.03043412646511	28.8325601632818	ANAPC7;ZWILCH;RPS6;NABP1;ANAPC10
response to interleukin-4 (GO:0070670)	3/32	0.00357137362169056	0.191160534472344	0	0	9.71502590673575	54.7422764496204	HSP90AB1;FASN;KEAP1
myeloid cell development (GO:0061515)	3/32	0.00357137362169056	0.189209916773647	0	0	9.71502590673575	54.7422764496204	CITED2;RPS6;PTPN11
peptidyl-lysine modification (GO:0018205)	6/153	0.00373691031352655	0.195980185331615	0	0	4.0638016864777	22.714603792983	EIF5A;ING5;KDM3A;GTF3C4;POLE3;OGT
regulation of translational initiation (GO:0006446)	4/66	0.00380047694334031	0.197320762898229	0	0	6.28042078819281	34.9984531871273	EIF4B;EIF3A;EIF4G1;EIF3B
cellular response to peptide hormone stimulus (GO:0071375)	8/261	0.00393045254030208	0.202048609794538	0	0	3.17630476644234	17.5935543549954	SMARCC1;PPAT;RPS6;PHIP;PTPN11;YWHAG;EIF4B;EIF4G1
ncRNA 3'-end processing (GO:0043628)	2/10	0.00396180197192281	0.201663488610032	0	0	20.7253886010363	114.633291477757	RPSA;TRNT1
regulation of cellular protein catabolic process (GO:1903362)	6/155	0.00398179249138577	0.200713268109465	0	0	4.01136553568444	22.1668989591336	HSP90AB1;ANAPC7;KEAP1;COMMD1;RAD23B;ANAPC10
cell cycle checkpoint (GO:0000075)	6/156	0.00410859776212525	0.205113842124561	0	0	3.98565165404544	21.899854467065	ANAPC7;ZWILCH;RPS6;NABP1;PTPN11;ANAPC10
nucleoside triphosphate biosynthetic process (GO:0009142)	4/69	0.00445791963684037	0.220433511947383	0	0	6.00735901479312	32.5182733102671	DTYMK;NME2;CTPS1;NME1
nucleotide phosphorylation (GO:0046939)	3/35	0.0046139475643502	0.225996375038738	0	0	8.88230940044411	47.7750242821194	DTYMK;NME2;NME1
pyrimidine nucleoside biosynthetic process (GO:0046134)	3/35	0.0046139475643502	0.223884259384171	0	0	8.88230940044411	47.7750242821194	NME2;CTPS1;NME1
placenta development (GO:0001890)	3/36	0.0049980495655881	0.240276605041976	0	0	8.63557858376511	45.7574052636796	PBRM1;HSP90AB1;RPS6
cellular response to peptide (GO:1901653)	8/273	0.00513549106317339	0.244618987155929	0	0	3.03668697451081	16.0081377428023	SMARCC1;PPAT;RPS6;PHIP;PTPN11;YWHAG;EIF4B;EIF4G1
regulation of epidermal cell differentiation (GO:0045604)	3/37	0.00540087534476864	0.25492131627308	0	0	8.40218456798768	43.8694376501814	NME2;KEAP1;SRSF6
pyrimidine ribonucleoside metabolic process (GO:0046131)	3/37	0.00540087534476864	0.252624727838187	0	0	8.40218456798768	43.8694376501814	NME2;CTPS1;NME1
nuclear import (GO:0051170)	4/75	0.00599407695972737	0.27786828191879	0	0	5.52677029360967	28.2803922388084	NOP58;PHIP;HNRNPA1;RAN
transcription from RNA polymerase II promoter (GO:0006366)	11/470	0.00609701128723079	0.28013878410002	0	0	2.42531143203616	12.3689829982586	ZNF496;TCERG1;TFAP4;U2AF2;ZKSCAN2;YBX1;DEK;SRSF6;SRSF7;RBMX;ATF4
nucleoside diphosphate metabolic process (GO:0009132)	3/39	0.0062636536445431	0.285270962477787	0	0	7.97130330809087	40.4383548412842	DTYMK;NME2;NME1
